_id,id,fields.timeestimate,fields.description
61d4219ff4d395ee22ffebb7,134767,14400,"Encountered this plugin within the ecosystem.atlassian.net/projects, Looks like a very (!) usefull addon, but we're already using Jira 7.x so we can't install/use it."
61d4219ff4d395ee22ffec87,70685,1800,"Reference to ${req.contextPath} in the files view-voters.vm and view-watchers.vm is no longer valid, and causes a Velocity error.  This reference should be replaced by ${requestContext.baseUrl} instead; see JIRA-11669 for details."
61d4219ff4d395ee22fff765,41030,14400,"This test started failing when UPM-1020 was implemented. I looked into why but could not for the life of me figure it out.\nThrough manual testing I verified that the functionality is working as expected. But the test still reports otherwise.\n\nThe collapse all & expand all buttons, according to the tests, do nothing for search results.\n\nI'm ignore the test now so that we can at least get a baseline green build for the rest of the tests."
61d4219ff4d395ee22fff766,40983,7200,"I verified in PAC that Atlassian Connector for Eclipse version 3.0.0 does not have a binary URL.\n\nLoading it's plugin details in PAC shows me the following:\n!https://img.skitch.com/20110721-bru7ycqu5aq969r37rumgut1q3.jpg!\n\nThe logs have the following stacktrace:\n{noformat}\n2011-07-21 09:48:37,700 INFO [http-3990-6] [AccessLogFilter] admin GET http://localhost:3990/upm/rest/plugins/1.0/available/com.atlassian.ide.plugins.eclipse.jira-key?_=1311266917669 51135kb\nJul 21, 2011 9:48:38 AM com.sun.jersey.server.impl.application.WebApplicationImpl onException\nSEVERE: Internal server error\njava.lang.NullPointerException\n	at java.net.URI$Parser.parse(URI.java:3003)\n	at java.net.URI.<init>(URI.java:578)\n	at java.net.URI.create(URI.java:840)\n	at com.atlassian.upm.rest.representations.AvailablePluginRepresentation.<init>(AvailablePluginRepresentation.java:109)\n	at com.atlassian.upm.rest.representations.RepresentationFactoryImpl.createAvailablePluginRepresentation(RepresentationFactoryImpl.java:145)\n	at com.atlassian.upm.rest.resources.AvailablePluginResource.get(AvailablePluginResource.java:48)\n	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)\n	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)\n	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)\n	at java.lang.reflect.Method.invoke(Method.java:597)\n	at com.atlassian.plugins.rest.common.interceptor.impl.DispatchProviderHelper$ResponseOutInvoker$1.invoke(DispatchProviderHelper.java:206)\n	at com.atlassian.plugins.rest.common.interceptor.impl.DispatchProviderHelper$1.intercept(DispatchProviderHelper.java:90)\n	at com.atlassian.plugins.rest.common.interceptor.impl.DefaultMethodInvocation.invoke(DefaultMethodInvocation.java:61)\n	at com.atlassian.plugins.rest.common.expand.interceptor.ExpandInterceptor.intercept(ExpandInterceptor.java:38)\n	at com.atlassian.plugins.rest.common.interceptor.impl.DefaultMethodInvocation.invoke(DefaultMethodInvocation.java:61)\n	at com.atlassian.plugins.rest.common.interceptor.impl.DispatchProviderHelper.invokeMethodWithInterceptors(DispatchProviderHelper.java:98)\n	at com.atlassian.plugins.rest.common.interceptor.impl.DispatchProviderHelper.access$100(DispatchProviderHelper.java:28)\n	at com.atlassian.plugins.rest.common.interceptor.impl.DispatchProviderHelper$ResponseOutInvoker._dispatch(DispatchProviderHelper.java:202)\n	at com.sun.jersey.server.impl.model.method.dispatch.ResourceJavaMethodDispatcher.dispatch(ResourceJavaMethodDispatcher.java:67)\n	at com.sun.jersey.server.impl.uri.rules.HttpMethodRule.accept(HttpMethodRule.java:163)\n	at com.sun.jersey.server.impl.uri.rules.ResourceClassRule.accept(ResourceClassRule.java:71)\n	at com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:111)\n	at com.sun.jersey.server.impl.uri.rules.RootResourceClassesRule.accept(RootResourceClassesRule.java:63)\n	at com.sun.jersey.server.impl.application.WebApplicationImpl._handleRequest(WebApplicationImpl.java:654)\n	at com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:612)\n	at com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:603)\n	at com.sun.jersey.spi.container.servlet.WebComponent.service(WebComponent.java:309)\n	at com.sun.jersey.spi.container.servlet.ServletContainer.service(ServletContainer.java:425)\n	at com.atlassian.plugins.rest.module.RestDelegatingServletFilter$JerseyOsgiServletContainer.doFilter(RestDelegatingServletFilter.java:128)\n	at com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:689)\n	at com.atlassian.plugins.rest.module.RestDelegatingServletFilter.doFilter(RestDelegatingServletFilter.java:62)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter.doFilter(DelegatingPluginFilter.java:74)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:42)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:77)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:63)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter.doFilter(DelegatingPluginFilter.java:74)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:42)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter$1.doFilter(DelegatingPluginFilter.java:66)\n	at com.atlassian.plugins.rest.module.servlet.RestServletUtilsUpdaterFilter.doFilterInternal(RestServletUtilsUpdaterFilter.java:26)\n	at com.atlassian.plugins.rest.module.servlet.RestServletUtilsUpdaterFilter.doFilter(RestServletUtilsUpdaterFilter.java:40)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter.doFilter(DelegatingPluginFilter.java:74)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:42)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter$1.doFilter(DelegatingPluginFilter.java:66)\n	at com.atlassian.applinks.core.rest.context.ContextFilter.doFilter(ContextFilter.java:25)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter.doFilter(DelegatingPluginFilter.java:74)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:42)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter$1.doFilter(DelegatingPluginFilter.java:66)\n	at com.atlassian.labs.httpservice.resource.ResourceFilter.doFilter(ResourceFilter.java:59)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter.doFilter(DelegatingPluginFilter.java:74)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:42)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:77)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:63)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:46)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:77)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:63)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at com.atlassian.bamboo.filter.AccessLogFilter.doFilter(AccessLogFilter.java:66)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at org.acegisecurity.util.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:265)\n	at org.acegisecurity.providers.anonymous.AnonymousProcessingFilter.doFilter(AnonymousProcessingFilter.java:125)\n	at org.acegisecurity.util.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:275)\n	at com.atlassian.bamboo.filter.SeraphLoginFilter.doFilter(SeraphLoginFilter.java:74)\n	at org.acegisecurity.util.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:275)\n	at org.acegisecurity.util.FilterChainProxy.doFilter(FilterChainProxy.java:149)\n	at org.acegisecurity.util.FilterToBeanProxy.doFilter(FilterToBeanProxy.java:98)\n	at com.atlassian.bamboo.filter.BambooAcegiProxyFilter.doFilter(BambooAcegiProxyFilter.java:25)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at com.atlassian.bamboo.filter.LicenseFilter.doFilter(LicenseFilter.java:73)\n	at com.atlassian.core.filters.AbstractHttpFilter.doFilter(AbstractHttpFilter.java:31)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at com.atlassian.johnson.filters.AbstractJohnsonFilter.doFilter(AbstractJohnsonFilter.java:71)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at com.atlassian.seraph.filter.SecurityFilter.doFilter(SecurityFilter.java:211)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at com.atlassian.seraph.filter.BaseLoginFilter.doFilter(BaseLoginFilter.java:150)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:46)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter$1.doFilter(DelegatingPluginFilter.java:66)\n	at com.atlassian.oauth.serviceprovider.internal.servlet.OAuthFilter.doFilter(OAuthFilter.java:71)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter.doFilter(DelegatingPluginFilter.java:74)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:42)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter$1.doFilter(DelegatingPluginFilter.java:66)\n	at com.atlassian.security.auth.trustedapps.filter.TrustedApplicationsFilter.doFilter(TrustedApplicationsFilter.java:98)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter.doFilter(DelegatingPluginFilter.java:74)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:42)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter$1.doFilter(DelegatingPluginFilter.java:66)\n	at com.atlassian.plugins.rest.module.servlet.RestSeraphFilter.doFilter(RestSeraphFilter.java:40)\n	at com.atlassian.plugin.servlet.filter.DelegatingPluginFilter.doFilter(DelegatingPluginFilter.java:74)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:42)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:77)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:63)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at org.springframework.orm.hibernate.support.OpenSessionInViewFilter.doFilterInternal(OpenSessionInViewFilter.java:170)\n	at com.atlassian.bamboo.persistence.BambooSessionInViewFilter.doFilterInternal(BambooSessionInViewFilter.java:31)\n	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:75)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:46)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:77)\n	at com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:63)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:96)\n	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:75)\n	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)\n	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)\n	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:233)\n	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191)\n	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:128)\n	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102)\n	at org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:567)\n	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109)\n	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:293)\n	at org.apache.coyote.http11.Http11Processor.process(Http11Processor.java:849)\n	at org.apache.coyote.http11.Http11Protocol$Http11ConnectionHandler.process(Http11Protocol.java:583)\n	at org.apache.tomcat.util.net.JIoEndpoint$Worker.run(JIoEndpoint.java:454)\n	at java.lang.Thread.run(Thread.java:637)\n{noformat}"
61d4219ff4d395ee22fff769,40932,7200,"This means that if you start on a tab, switch to another tab, then refresh the page, you will be redirected back to the original tab."
61d4219ff4d395ee22fff76a,40493,36000,It's often desirable to install OSGi bundles that are not actually Atlassian plugins through the UPM. This is not difficult to do; but the UPM currently doesn't support it. 
61d4219ff4d395ee22fff76e,40064,21600,"Let's say you have a disabled plugin that you have a new version of. Upload a new version (in my case I was uploading from a local jar file) which I would expect to install and then remain disabled because the existing/previous version was disabled. But instead of getting a message saying ""plugin was installed and remains as disabled"" I get a message saying it couldn't be enabled for some unknown reason and to check the logs.\n"
61d4219ff4d395ee22fff77e,39226,21600,"We need to determine which versions of products were affected by UPM-1111 and maybe propose a fix on PAC, in the form of a UPM download.\nDon't forget that BTF users can't upload local plugins (such as he new UPM plugin we provide), so can they install plugins on the command line ?"
61d4219ff4d395ee22fff7ae,35531,10800,"When we run the latest version of UPM with Bamboo, the startup fails: ""Could not load bootstrap from environment	 java.lang.IllegalStateException: Unable to bootstrap Bamboo: Failed to run pre-bootstrap upgrade tasks.""\nThe reason is: UPM (plugin/pom.xml) uses an outdated version of the Product Data.\n\nSteps to reproduce:\n\nsvn co https://studio.atlassian.com/svn/UPM/trunk upm\ncd upm\nmvn clean install\ncd plugin\n\nmvn -DskipTests -product=bamboo clean amps:run -Dproduct.version=3.1-SNAPSHOT"
61d4219ff4d395ee22fff7e8,32494,21600,"When uploading a plugin (presumably after my session had expired), I had the upload plugin dialog spinning forever. This exception was in the logs:\n\n{code}\nSEVERE: Internal server error\ncom.atlassian.upm.token.TokenException: Unable to match and invalidate token for user admin\n	at com.atlassian.upm.token.TokenManagerImpl.attemptToMatchAndInvalidateToken(TokenManagerImpl.java:78)\n	at com.atlassian.upm.rest.resources.InstalledPluginCollectionResource.checkValidToken(InstalledPluginCollectionResource.java:207)\n	at com.atlassian.upm.rest.resources.InstalledPluginCollectionResource.installFromFileSystem(InstalledPluginCollectionResource.java:180)\n	...\nCaused by: java.lang.NullPointerException\n	at com.atlassian.upm.token.TokenManagerImpl$2.call(TokenManagerImpl.java:66)\n	at com.atlassian.upm.token.TokenManagerImpl$2.call(TokenManagerImpl.java:62)\n	at com.atlassian.util.concurrent.ManagedLocks$ManagedLockImpl.withLock(ManagedLocks.java:313)\n	at com.atlassian.upm.token.TokenManagerImpl.attemptToMatchAndInvalidateToken(TokenManagerImpl.java:61)\n	... 133 more\n{code}\n\nThe relevant code is in TokenManagerImpl:\n\n{code:java}\n// ...\nToken storedToken = tokenStore.get(username);\nif (tokenValue.equals(storedToken.getValue()))\n// ...\n{code}\n\nIn the case where the storedToken does not exist, this throws NullPointerException on the request thread. Then this error response is not handled properly by the JS code, so the dialog sits there spinning forever.\n\nThe error message itself also went to stderr instead of stdout, and was formatted using the default log4j settings instead of Confluence's configuration. This would mean that the application log in standalone wouldn't actually include this error -- it would spit out in the app server's log file.\n\nI think a few fixes are required to resolve this issue:\n\n- proper null handling in TokenManagerImpl\n- proper error and timeout handling in the AJAX code for the upload plugin dialog\n- ensure exception logging goes through slf4j/log4j correctly in Confluence.\n"
