issuekey,storypoint,description,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee2208152f,300,Looks like a simple copy/paste (from suspendReads) bug.\n\npublic void suspendWrites() {\n        try {\n            readHandle.suspend(),  // <--Doh!\n        } catch (CancelledKeyException ex) {\n            // ignore\n        }\n    },NioSocketChannelImpl suspendWrites method suspends reads instead of writes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee2208163d,288000,"The existing load aware scheduling plugins depend on an external component called ""Load Watcher"" ([https://github.com/paypal/load-watcher/]), which was developed and maintained by PayPal. \n\n \n\nAs OpenShift has its own monitoring stack that is using Prometheus, we would like to develop Prometheus Client for all load aware scheduling plugins. ",Develop Prometheus clients for load aware scheduling plugins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee22081725,3600,The project layout may be similar to wise core. At the moment libraries to be included are gwt and wise core.,Set up project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee22082618,7200,"test the Windup Report view on none HTML5 compliant browser (AKA xulrunner on Linux)\n\nThe reports generated by windup use the HTML5 header, but not sure if they are using anything which would make them not work in an non-html5 compliant browser.",test on non HTML5 compliant browser (AKA xulrunner on Linux),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee2208261a,7200,as a place holder right now the small menu icon for the export action is being used for the export wizard icon.\n\nA full sized export wizard image needs to be created following the standard Eclipse export wizard icon style guidelines.,need full sized icon for export wizard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee2208261b,7200,Align Eclipse Plugin versioning with WindUp versioning,Align Eclipse Plugin versioning with WindUp versioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee2208263c,28800,"As an alternative to using the Eclipse plugin to run a Windup report, we should provide run scripts that will run Windup after doing minor parameter validation for both Unix/Linux and Windows operating systems.  This comes from the fact that the Eclipse plug-in is only supported for Kepler and higher Eclipse instances.",Create run scripts for *nix and Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee220832e4,240,"The `ejb:` binding should not be logged if the EJB does not implement the Remote interface.\nThe `ejb:` is a message that gives the lookup path for an EJB with a remote interface, it should only be logged if the java:jboss/exported binding is logged as these are basically the same.\n\nEJBs that only implement a Local interface or EJBs with No interface view should not log the ejb:\n\n20:15:02,699 INFO  [org.jboss.as.ejb3.deployment] (MSC service thread 1-8) WFLYEJB0473: JNDI bindings for session bean named 'HelloBean' in deployment unit 'deployment ""local.jar""' are as follows:\n\n	java:global/local/HelloBean!test.HelloLocal\n	java:app/local/HelloBean!test.HelloLocal\n	java:module/HelloBean!test.HelloLocal\n	ejb:/local/HelloBean!test.HelloLocal\n	java:global/local/HelloBean\n	java:app/local/HelloBean\n	java:module/HelloBean\n20:15:53,450 INFO  [org.jboss.as.ejb3.deployment] (MSC service thread 1-5) WFLYEJB0473: JNDI bindings for session bean named 'HelloBean' in deployment unit 'deployment ""no-interface.jar""' are as follows:\n\n	java:global/no-interface/HelloBean!test.HelloBean\n	java:app/no-interface/HelloBean!test.HelloBean\n	java:module/HelloBean!test.HelloBean\n	ejb:/no-interface/HelloBean!test.HelloBean\n	java:global/no-interface/HelloBean\n	java:app/no-interface/HelloBean\n	java:module/HelloBean",ejb: binding should not be listed if there is no Remote interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee22083693,28800,"resource adapter configured as module not finding validation provider	\n\n{code}\nERROR [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0215: Failed to resume activity org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponent$1@3f9a21a1. To resume normal operation it is recommended that you restart the server.: java.lang.RuntimeException: javax.resource.ResourceException: IJ000852: Validation exception\n	at org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponent.activate(MessageDrivenComponent.java:273)\n	at org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponent.access$300(MessageDrivenComponent.java:63)\n	at org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponent$1.resume(MessageDrivenComponent.java:109)\n	at org.jboss.as.server.suspend.SuspendController.resume(SuspendController.java:126)\n	at org.jboss.as.server.ServerService.finishBoot(ServerService.java:430)\n	at org.jboss.as.server.ServerService.boot(ServerService.java:398)\n	at org.jboss.as.controller.AbstractControllerService$1.run(AbstractControllerService.java:370)\n	at java.lang.Thread.run(Thread.java:748)\nCaused by: javax.resource.ResourceException: IJ000852: Validation exception\n	at org.jboss.jca.core.rar.EndpointImpl.activate(EndpointImpl.java:177)\n	at org.jboss.as.ejb3.component.messagedriven.MessageDrivenComponent.activate(MessageDrivenComponent.java:271)\n	... 7 more\nCaused by: javax.validation.ValidationException: Unable to create a Configuration, because no Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.\n	at javax.validation.Validation$GenericBootstrapImpl.configure(Validation.java:271)\n	at org.jboss.jca.core.bv.BeanValidationUtil.createValidatorFactory(BeanValidationUtil.java:51)\n	at org.jboss.jca.core.bv.BeanValidationUtil.createValidator(BeanValidationUtil.java:63)\n	at org.jboss.jca.core.rar.EndpointImpl.activate(EndpointImpl.java:165)\n	... 8 more\n{code}\n\nIt looks like the hibernate validator module should have services=import: \n\n{code}\n<module name=""org.jboss.ironjacamar.impl"" xmlns=""urn:jboss:module:1.5"">\n...\n    <dependencies>\n...\n        <module name=""javax.validation.api""/>\n        <module name=""org.hibernate.validator""/>\n{code}\n",resource adapter configured as module not finding validation provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d4a5e5f4d395ee22083871,28800,"WARN when a clustered EJB is bound to INADDR_ANY (0.0.0.0) as it can not reach back the cluster when not in the same local network , as it will not work.\n\nThis is follow up to JBEAP-13813",WARN when a clustered EJB is bound to INADDR_ANY (0.0.0.0) as it can not reach back the cluster when not in the same local network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
