issuekey,storypoint,description,title,,,,
61d6a338f4d395ee22279133,28800,"The timeline tool refers to an externally hosted Javascript library, which is clear-text HTTP (port 80). If the tool is running on a secure HTTPS connection, the timeline will not render correctly and throw an error behind the scenes. (see attached)",Timeline won't load in Chrome due to protocol security constraint,,,,
61d6a338f4d395ee22279135,1800,"Code supports youtube.com, vimeo.com and dailymotion.com for auto-embed of video urls. Need to add support for newer youtu.be domain as well.",Add auto-embed support for youtu.be URLs,,,,
61d6a338f4d395ee2227ae0c,28800,This task is to properly launch LTI 1.3 tools with JWTs.  Seems simple enough.  Hopefully done by this afternoon :),Add code to perform LTI 1.3 Launches,,,,
61d6a338f4d395ee2227b2a9,28800,This fix was for DB2 and addressed in KNL-146 and SAK-15410 for increasing the size of BLOB to 2G bytes.  Problem is a syntax error in CREATE TABLE CONTENT_RESOURCE_BODY_BINARY:\nshould be BODY BLOB(2G) NOT LOGGED\n\nThe code has a curly brace followed by a close parenthesis: BLOB{2G)\n\n,syntax error in sakai_content.sql for DB2 ,,,,
61d6a338f4d395ee2227b2ca,57600,"Uploading a file size >= 1 MB in Resources to DB2 causes the following error.  File uploads < 1MB upload without a problem.\n\n2009-01-16 09:57:33,409  WARN http-8080-Processor21 org.sakaiproject.content.impl.DbContentService - failed to write file from byte-array to database\norg.sakaiproject.exception.ServerOverloadException id=failed to write file from byte-array to database\n	at org.sakaiproject.content.impl.DbContentService$DbStorage.commitResource(DbContentService.java:1726)\n\n\nsakai.properties:\ncontent.upload.max=20",db2 file upload limit < 1 MB does not save produces: Alert: Unable to add item: ,,,,
61d6a338f4d395ee2227b33f,28800,"The change of default value of  samigo.answerUploadRepositoryPath from null to ${sakai.home}/samigo/answerUploadRepositoryPath (http://source.sakaiproject.org/viewsvn/sam/trunk/samigo-pack/src/java/org/sakaiproject/tool/assessment/shared/SakaiBootStrap.java?r1=112090&r2=112170) doesn't work because string ""${sakai.home}/samigo/answerUploadRepositoryPath"" doesn't get dereferenced by the BasicConfigurationService.dereferenceConfig(). That is, string ${sakai.home} will be returned as ${sakai.home}. After talking to Aaron, this seems a bug in the SCS impl\r\n\r\nWe could use some extra testing on this. Basically, the issue is that if you set the value in a properties file then the replacement is handled. If you set it in code as a default then the value is not replaced. If anyone could test this on 2.9 and 2.8 to see if this was an issue in those versions it would help.\r\n\r\nAZ NOTE:\r\nConfirmed with a simple unit test (committed but disabled):\r\n    public void testKNL1038() throws Exception {\r\n        // KNL-1038 - ""${sakai.home}/samigo/answerUploadRepositoryPath""\r\n        String val = null;\r\n        val = basicConfigurationService.getString(""name"");\r\n        assertNotNull(val);\r\n        assertEquals(""Aaron"", val);\r\n\r\n        val = basicConfigurationService.getString(""namePlusLast"", ""${name} Zeckoski"");\r\n        assertNotNull(val);\r\n        assertEquals(""Aaron Zeckoski"", val);\r\n    }\r\n\r\njunit.framework.ComparisonFailure: null expected:<[Aaron] Zeckoski> but was:<[${name}] Zeckoski>\r\n",The default value of samigo.answerUploadRepositoryPath in SakaiBootStrap.java doesn't get dereferenced,,,,
61d6a338f4d395ee2227b406,3600,"The type of a notification is controlled by a call like this:\r\nString type = EntityManager.newReference(resourceFilter).getType();\r\n\r\nUnfortunately, this means it is very difficult to actually add a notification unless there is an associated and fully working entitymanager (a partly working one breaks other things).\r\n\r\nThe fix here is allow this to be easily overridden.",Cannot control the type when adding new notifications,,,,
61d6a338f4d395ee2227b487,57600,"Use of static covers (including the ComponentManager) should be replaced with service injections. The method of injection should be consistent (setter injection ideally but changing from abstract injection is probably not worth doing unless it is small). It should be done in chunks (like content, memory, etc.) and then server must be started after each set of changes to ensure things are still working properly.",Eliminate the use of covers in kernel services (only the impl services and NOT in utils),,,,
61d6a457f4d395ee2227ba7a,3600,"The file  sam/samigo-app/pom.xml does not include the contents of sam/samigo-app/sakai-samigo/webapp/* in the output samigo.war file.  Thus the web.xml file is empty, and Samigo fails to start.  I have a patch that fixes this that just needs to be approved:\n\nsvn diff\nIndex: samigo-app/pom.xml\n===================================================================\n--- samigo-app/pom.xml  (revision 31497)\n+++ samigo-app/pom.xml  (working copy)\n@@ -627,16 +627,32 @@\n   </dependencies>\n   <build>\n     \n+    <plugins>\n+      <plugin>\n+        <groupId>org.apache.maven.plugins</groupId>\n+        <artifactId>maven-war-plugin</artifactId>\n+        <version>2.0</version>\n+        <configuration>\n+          <webResources>\n+            <resource>\n+              <!-- this is relative to the pom.xml directory -->\n+              <directory>${basedir}/sakai-samigo/webapp</directory>\n+            </resource>\n+          </webResources>\n+         </configuration>\n+       </plugin>\n+    </plugins>\n     \n     \n     \n-    \n-    \n     <resources>\n+      <!-- webapp is not necessary to specify as it is canonical and\n+           anyway should be in the war/webReources/resource config if\n+           it is different -->\n+      <!--       <resource> -->\n+      <!--         <directory>src/webapp/WEB-INF</directory> -->\n+      <!--       </resource> -->\n       <resource>\n-        <directory>src/webapp/WEB-INF</directory>\n-      </resource>\n-      <resource>\n         <directory>${basedir}/src/java</directory>\n         <excludes>\n           <exclude>**/*.java</exclude>\n\n\n\n",maven 2 build from svn trunk has empty web.xml,,,,
61d6a457f4d395ee2227bad7,28800,"My problem:\r\n- I create a multiple choice question with 4 choices: A, B, C, D. If the answer  key is A, it's saved.\r\n  If the answer is not A(B, C, D), there is no correct answer saved. I attach the image for this problem.\r\nPlease tell me if I configured wrong or it's a bug.\r\nThank you so much.",Question Pool: Multiple Choice Question cannot save the correct answer if the correct answer is not A,,,,
