description,storypoint,issuekey,dataset_name,treated_description_ml,treated_description_bert
"Finalize DM mission statement The proposed mission statement for the LSST Software Stack development: {quote} Enabling LSST science by creating a well documented, state-of-the-art, high-performance, scalable, multi-camera, open source, O/IR survey data processing and analysis system {quote} with the following rationale:  * well documented -- as otherwise it will be impossible to maintain or be usable for Level 3 * state-of-the-art -- because the quality of the instrument and needs of the science to be systematic limited require us to develop new algorithms an break new ground in a number of areas * high-performance -- because of the massive amount of data we need to process for a reasonable budget * scalable -- because we need it to run from between a single core (for developers, or Level 3 users) to tens of thousands of cores (for Data Release production) * multi-camera -- because we need to process precursor data for development purposes, and because our as-delivered camera won't be ideal. * open source -- because we want the community and future surveys to benefit from our efforts. ",2,DM-8,datamanagement,finalize dm mission statement propose mission statement lsst software stack development quote enabling lsst science create document state art high performance scalable multi camera open source ir survey datum processing analysis system quote following rationale document impossible maintain usable level state art quality instrument need science systematic limited require develop new algorithm break new ground number area high performance massive datum need process reasonable budget scalable need run single core developer level user ten thousand core data release production multi camera need process precursor datum development purpose deliver camera will ideal open source want community future survey benefit effort,"Finalize DM mission statement The proposed mission statement for the LSST Software Stack development: {quote} Enabling LSST science by creating a well documented, state-of-the-art, high-performance, scalable, multi-camera, open source, O/IR survey data processing and analysis system {quote} with the following rationale: * well documented -- as otherwise it will be impossible to maintain or be usable for Level 3 * state-of-the-art -- because the quality of the instrument and needs of the science to be systematic limited require us to develop new algorithms an break new ground in a number of areas * high-performance -- because of the massive amount of data we need to process for a reasonable budget * scalable -- because we need it to run from between a single core (for developers, or Level 3 users) to tens of thousands of cores (for Data Release production) * multi-camera -- because we need to process precursor data for development purposes, and because our as-delivered camera won't be ideal. * open source -- because we want the community and future surveys to benefit from our efforts."
"Open up LSST software mailing lists We all benefit from making LSST software development as open as possible and conducive to outside volunteer contributions (*). One way to increase community involvement is to open up our development mailing lists to the public, analogous to the way other open source projects do. For example, we could have:  * software-devel@lsstcorp.org: the development mailing list, equivalent to current lsst-data * software-users@lsstcorp.org: the users mailing list, equivalent to current lsst-dm-stack-users mailing list (but it could possibly be replaced by StackOverflow/Confluence Questions) * lsst-dm@lsstcorp.org: internal, DM-staff only mailing list, for the *rare* discussions/notices that should go out to staff only.  (*) Though we don't rely on them for meeting the project specs (legally required disclaimer :) ).",1,DM-9,datamanagement,open lsst software mailing list benefit make lsst software development open possible conducive outside volunteer contribution way increase community involvement open development mailing list public analogous way open source project example software-devel@lsstcorp.org development mailing list equivalent current lsst datum software-users@lsstcorp.org user mailing list equivalent current lsst dm stack user mailing list possibly replace stackoverflow confluence questions lsst-dm@lsstcorp.org internal dm staff mailing list rare discussion notice staff rely meet project spec legally require disclaimer :),"Open up LSST software mailing lists We all benefit from making LSST software development as open as possible and conducive to outside volunteer contributions (*). One way to increase community involvement is to open up our development mailing lists to the public, analogous to the way other open source projects do. For example, we could have: * software-devel@lsstcorp.org: the development mailing list, equivalent to current lsst-data * software-users@lsstcorp.org: the users mailing list, equivalent to current lsst-dm-stack-users mailing list (but it could possibly be replaced by StackOverflow/Confluence Questions) * lsst-dm@lsstcorp.org: internal, DM-staff only mailing list, for the *rare* discussions/notices that should go out to staff only. (*) Though we don't rely on them for meeting the project specs (legally required disclaimer :) )."
Release EUPS 1.3.0 Release EUPS 1.3.0 in RHL's github repository.,1,DM-20,datamanagement,release eups 1.3.0 release eups 1.3.0 rhl github repository,Release EUPS 1.3.0 Release EUPS 1.3.0 in RHL's github repository.
Determine final URL/location for W'14 stack Need to know where W'14 stack files are going to be housed.,1,DM-21,datamanagement,determine final url location w'14 stack need know w'14 stack file go house,Determine final URL/location for W'14 stack Need to know where W'14 stack files are going to be housed.
Build Winter'14 release Run lsst-build scripts and 'eups distrib create' to build the Winter'14 release.,1,DM-25,datamanagement,build winter'14 release run lsst build script eup distrib create build winter'14 release,Build Winter'14 release Run lsst-build scripts and 'eups distrib create' to build the Winter'14 release.
Update installation instructions Update Confluence instructions on how to install the Winter'14 stack.  The instructions are at: https://confluence.lsstcorp.org/display/LSWUG/LSST+Software+User+Guide,1,DM-26,datamanagement,update installation instruction update confluence instruction install winter'14 stack instruction https://confluence.lsstcorp.org/display/lswug/lsst+software+user+guide,Update installation instructions Update Confluence instructions on how to install the Winter'14 stack. The instructions are at: https://confluence.lsstcorp.org/display/LSWUG/LSST+Software+User+Guide
"Modify gitolite permissions to allow issue/DM-NNNN branches Use issue/DM-NNNN branches for issues tracked in JIRA, to differentiate them from tickets/NNNN branches that are still in Trac.",1,DM-28,datamanagement,modify gitolite permission allow issue dm nnnn branch use issue dm nnnn branch issue track jira differentiate ticket nnnn branch trac,"Modify gitolite permissions to allow issue/DM-NNNN branches Use issue/DM-NNNN branches for issues tracked in JIRA, to differentiate them from tickets/NNNN branches that are still in Trac."
Qserv configuration - detailed design Detailed design covering how all Qserv components will be configured for runtime. ,3,DM-52,datamanagement,qserv configuration detail design detailed design cover qserv component configure runtime,Qserv configuration - detailed design Detailed design covering how all Qserv components will be configured for runtime.
"Node configuration and bootstrapping - detailed design Design covering how all Qserv components will be configured for runtime.  Design how new Qserv nodes will be bootstrapped when we add them to the cluster, and how already added nodes will get updated after they were offline (crashed, turned off for maintenance etc) ",6,DM-53,datamanagement,node configuration bootstrappe detailed design design cover qserv component configure runtime design new qserv node bootstrappe add cluster add node update offline crash turn maintenance etc,"Node configuration and bootstrapping - detailed design Design covering how all Qserv components will be configured for runtime. Design how new Qserv nodes will be bootstrapped when we add them to the cluster, and how already added nodes will get updated after they were offline (crashed, turned off for maintenance etc)"
"Data Distribution Design v1 Need to come up with detailed design covering how we will deal with data distribution: managing multiple replicas, recovering from faults, adding new nodes to the cluster, registering new data from L2 ingest and user data (L3).",8,DM-71,datamanagement,data distribution design v1 need come detailed design cover deal data distribution manage multiple replicas recover fault add new node cluster register new datum l2 ingest user datum l3,"Data Distribution Design v1 Need to come up with detailed design covering how we will deal with data distribution: managing multiple replicas, recovering from faults, adding new nodes to the cluster, registering new data from L2 ingest and user data (L3)."
