description,storypoint,issuekey,dataset_name,treated_description_ml,treated_description_bert
"allow teachers to specify certain fields in database activity as required When creating a database, allow the teacher to specify whether a field must be filled in or not.",20,MDL-5583,moodle,allow teacher specify certain field database activity require create database allow teacher specify field fill,"allow teachers to specify certain fields in database activity as required When creating a database, allow the teacher to specify whether a field must be filled in or not."
"Forum: proceed to next thread link Please put a link to jump to the next thread in the forum interface... Forums are very cool but the evaluation process is time consuming and, for a teacher, time is everything when evaluating 100s of students...  ",20,MDL-8501,moodle,forum proceed thread link link jump thread forum interface forum cool evaluation process time consume teacher time evaluate 100s student,"Forum: proceed to next thread link Please put a link to jump to the next thread in the forum interface... Forums are very cool but the evaluation process is time consuming and, for a teacher, time is everything when evaluating 100s of students..."
"A use profile's course list is arbitarily limited with no way of seeing complete list When viewing a user's profile, if the list of their courses exceeds 21 (I think) an ellipsis is displayed. This seems a bit useless because... a) You can't click on the ellipsis to see the rest of the courses b) The list isn't even in alphabetic order so it becomes even more arbitrary c) the ellipsis is easy to miss, so you may not realise the list is truncated  Suggest either making this work properly, i.e., the ellipsis is clickable OR if the list is not considered important just put ""too many courses to show"" if it exceeds a certain amount. It would seem sensible to display them in alphabetic order too.  Without this it is difficult for an administrator to see all the courses a user is in if (for example) checking role assignments.",13,MDL-10115,moodle,use profile course list arbitarily limit way see complete list view user profile list course exceed 21 think ellipsis display bit useless click ellipsis rest course list alphabetic order arbitrary ellipsis easy miss realise list truncate suggest make work properly i.e. ellipsis clickable list consider important course exceed certain sensible display alphabetic order difficult administrator course user example check role assignment,"A use profile's course list is arbitarily limited with no way of seeing complete list When viewing a user's profile, if the list of their courses exceeds 21 (I think) an ellipsis is displayed. This seems a bit useless because... a) You can't click on the ellipsis to see the rest of the courses b) The list isn't even in alphabetic order so it becomes even more arbitrary c) the ellipsis is easy to miss, so you may not realise the list is truncated Suggest either making this work properly, i.e., the ellipsis is clickable OR if the list is not considered important just put ""too many courses to show"" if it exceeds a certain amount. It would seem sensible to display them in alphabetic order too. Without this it is difficult for an administrator to see all the courses a user is in if (for example) checking role assignments."
"Add ""test database setup"" to the ""External Database"" enrollment and authentication plugins It is hard to test whether the administrative panel for External Database Authentication and for External Database Enrollment is configured correctly. Currently, you have to create fake user accounts or similar, and try to authenticate them or enroll them and see if they receive email, etc. (At least, that's how I tested it! Does someone have a better way?)    It woule be nice to have a ""Test Connection"" button on that page which goes through and makes sure all the db info (username, password, connection, etc.) and data mapping is correct. AND prints out all this stuff to the screen in an easy-to-read report.    Thank you!",4,MDL-16073,moodle,add test database setup external database enrollment authentication plugin hard test administrative panel external database authentication external database enrollment configure correctly currently create fake user account similar try authenticate enroll receive email etc test well way woule nice test connection button page go make sure db info username password connection etc datum mapping correct print stuff screen easy read report thank,"Add ""test database setup"" to the ""External Database"" enrollment and authentication plugins It is hard to test whether the administrative panel for External Database Authentication and for External Database Enrollment is configured correctly. Currently, you have to create fake user accounts or similar, and try to authenticate them or enroll them and see if they receive email, etc. (At least, that's how I tested it! Does someone have a better way?) It woule be nice to have a ""Test Connection"" button on that page which goes through and makes sure all the db info (username, password, connection, etc.) and data mapping is correct. AND prints out all this stuff to the screen in an easy-to-read report. Thank you!"
"Allow single-item scales The single-item scale, ""Useful"", used on moodle.org is in demand! See http://moodle.org/mod/forum/discuss.php?d=105515    Currently only scales of 2 or more items may be created.",8,MDL-16474,moodle,allow single item scale single item scale useful moodle.org demand http://moodle.org/mod/forum/discuss.php?d=105515 currently scale item create,"Allow single-item scales The single-item scale, ""Useful"", used on moodle.org is in demand! See http://moodle.org/mod/forum/discuss.php?d=105515 Currently only scales of 2 or more items may be created."
Adding data mapping for custom user fields I'd like having the possibility to add data mapping for custom user fields when I use LDAP or DB auth modules,40,MDL-16982,moodle,add datum mapping custom user field like have possibility add data mapping custom user field use ldap db auth module,Adding data mapping for custom user fields I'd like having the possibility to add data mapping for custom user fields when I use LDAP or DB auth modules
"Implement import/export ""Permissions"" settings for ""Manage roles"" tab Suggest to implement ""import / export"" settings for the role ""permissions"". See the two proposed solutions (probably only one need to be implemented)... This is particularly useful for larger ""enterprise-level"" moodle implementation as we often have staging, testing, and development moodle installations and if we have customized role settings, it is a pain in the butt to manually change all of them one by one (it's a long list of the ""Permissions"" for all the newly deployed moodle instances. Thanks!",20,MDL-17081,moodle,implement import export permission setting manage role tab suggest implement import export setting role permission propose solution probably need implement particularly useful large enterprise level moodle implementation staging testing development moodle installation customize role setting pain butt manually change long list permission newly deploy moodle instance thank,"Implement import/export ""Permissions"" settings for ""Manage roles"" tab Suggest to implement ""import / export"" settings for the role ""permissions"". See the two proposed solutions (probably only one need to be implemented)... This is particularly useful for larger ""enterprise-level"" moodle implementation as we often have staging, testing, and development moodle installations and if we have customized role settings, it is a pain in the butt to manually change all of them one by one (it's a long list of the ""Permissions"" for all the newly deployed moodle instances. Thanks!"
Automatically and periodically save WYSIWYG editor content as a draft/concept This emerged during the discussion at MDL-13370. Shortly: use AJAX to automatically and periodically (eg. every minute) save the content of a WYSIWYG editor to the concepts (drafts) space. See GMail for the working example.    It seems to me that we could use table mdl_post for this therefore not DB changes should be required. There will be a flag for a rich text field definitions that enables this feature. Every WYSIWYG will have to have some uniq identifier. Concepts are accessible to their owners only (and admins?) - maybe via a card in their profiles? Their lifetime is a subject of configuration - couple of hours by default.,40,MDL-18014,moodle,automatically periodically save wysiwyg editor content draft concept emerge discussion mdl-13370 shortly use ajax automatically periodically eg minute save content wysiwyg editor concept draft space gmail work example use table mdl_post db change require flag rich text field definition enable feature wysiwyg uniq identifier concept accessible owner admin maybe card profile lifetime subject configuration couple hour default,Automatically and periodically save WYSIWYG editor content as a draft/concept This emerged during the discussion at MDL-13370. Shortly: use AJAX to automatically and periodically (eg. every minute) save the content of a WYSIWYG editor to the concepts (drafts) space. See GMail for the working example. It seems to me that we could use table mdl_post for this therefore not DB changes should be required. There will be a flag for a rich text field definitions that enables this feature. Every WYSIWYG will have to have some uniq identifier. Concepts are accessible to their owners only (and admins?) - maybe via a card in their profiles? Their lifetime is a subject of configuration - couple of hours by default.
"User profile: add last ip field to user view Similar to MDL-18518, this request to add the Last IP address could be useful to a site administrator trying to track down where a user last access Moodle from. Patch for 1.9 attach, I'll come up for one for HEAD as well. Peace - Anthony",2,MDL-18633,moodle,user profile add ip field user view similar mdl-18518 request add ip address useful site administrator try track user access moodle patch 1.9 attach come head peace anthony,"User profile: add last ip field to user view Similar to MDL-18518, this request to add the Last IP address could be useful to a site administrator trying to track down where a user last access Moodle from. Patch for 1.9 attach, I'll come up for one for HEAD as well. Peace - Anthony"
"Non-graded Assignment and Quizzes appear in the gradebook  and have Max Grade assigned Non-graded Assignment and Quizzes are getting displayed in the gradebook, and they look like being included into aggregation in the Cat&Items interface, since they have Max Grade value set to 100.  Other activities behave definitely. E.g. If Forum is not graded, it does not appear in the gradebook as a column. Which for me is an expected behavior.    1. Add an Assignment. Set it to No Grade. Column will still appear in the gradebook. Now go to the Cat&Items interface. It will display Max Grade for that column to be 100 points. (Though it will not be actually included into the calculation)  2. Add an Assignment. Set it to be graded on a scale (scales are NOT included in aggregation for us). Maximum Grade in the Cat&Items interface will display some number (e.g. 3, if there are 3 items in a scale). It is confusing, since one would now expect that 3 to be calculated toward course/category total.  3. Add a quiz, add some questions, and make the quiz to be worth 0 points. Maximum Grade in the Cat&Items interface will still be 10 points (or 100). Interestingly enough, I can manually delete a gradebook column for this kind of quiz. (But, once I delete a column, there is no way for me add it back, even though I will make the quiz gradable)    I think MDL-14017 is related to this. ",13,MDL-18770,moodle,non grade assignment quizzes appear gradebook max grade assign non grade assignment quizzes getting display gradebook look like include aggregation cat&items interface max grade value set 100 activity behave definitely e.g. forum grade appear gradebook column expected behavior add assignment set grade column appear gradebook cat&items interface display max grade column 100 point actually include calculation add assignment set grade scale scale include aggregation maximum grade cat&items interface display number e.g. item scale confusing expect calculate course category total add quiz add question quiz worth point maximum grade cat&items interface 10 point 100 interestingly manually delete gradebook column kind quiz delete column way add quiz gradable think mdl-14017 relate,"Non-graded Assignment and Quizzes appear in the gradebook and have Max Grade assigned Non-graded Assignment and Quizzes are getting displayed in the gradebook, and they look like being included into aggregation in the Cat&Items interface, since they have Max Grade value set to 100. Other activities behave definitely. E.g. If Forum is not graded, it does not appear in the gradebook as a column. Which for me is an expected behavior. 1. Add an Assignment. Set it to No Grade. Column will still appear in the gradebook. Now go to the Cat&Items interface. It will display Max Grade for that column to be 100 points. (Though it will not be actually included into the calculation) 2. Add an Assignment. Set it to be graded on a scale (scales are NOT included in aggregation for us). Maximum Grade in the Cat&Items interface will display some number (e.g. 3, if there are 3 items in a scale). It is confusing, since one would now expect that 3 to be calculated toward course/category total. 3. Add a quiz, add some questions, and make the quiz to be worth 0 points. Maximum Grade in the Cat&Items interface will still be 10 points (or 100). Interestingly enough, I can manually delete a gradebook column for this kind of quiz. (But, once I delete a column, there is no way for me add it back, even though I will make the quiz gradable) I think MDL-14017 is related to this."
