description,storypoint,issuekey,dataset_name,treated_description_ml,treated_description_bert
"SQL Server Single Sign On Support doesn't work in data profiler repository connections In the data profiler perspective, you can't use the Single Sign on libraries to connect to SQL Server, even if the library is loaded.  We've used the Single Sign On capabilities in the job designer and haven't had any issues running jobs, using the data viewer, etc; however, when you switch to the data profiler, the connection returns that the library isn't loaded, and to check the java.library.path system property - which has the values appropriate for the library.  Everyone has installed the dll from the jtds project in their library paths.",3,TDQ-249,talenddataquality,sql server single sign support work data profiler repository connection data profiler perspective use single sign library connect sql server library load single sign capability job designer issue run job datum viewer etc switch datum profiler connection return library load check java.library.path system property value appropriate library instal dll jtds project library path,"SQL Server Single Sign On Support doesn't work in data profiler repository connections In the data profiler perspective, you can't use the Single Sign on libraries to connect to SQL Server, even if the library is loaded. We've used the Single Sign On capabilities in the job designer and haven't had any issues running jobs, using the data viewer, etc; however, when you switch to the data profiler, the connection returns that the library isn't loaded, and to check the java.library.path system property - which has the values appropriate for the library. Everyone has installed the dll from the jtds project in their library paths."
"Remove two columns in frequency tables in the ""b01_column_basic.jrxml"" report, frequency tables must not have the following columns:   ""INDICATOR OK"" and ""INDICATOR PERC OK""    See screenshot.     TODO: remove these columns in all kind of frequency table.",8,TDQ-309,talenddataquality,remove column frequency table b01_column_basic.jrxml report frequency table follow column indicator ok indicator perc ok screenshot todo remove column kind frequency table,"Remove two columns in frequency tables in the ""b01_column_basic.jrxml"" report, frequency tables must not have the following columns: ""INDICATOR OK"" and ""INDICATOR PERC OK"" See screenshot. TODO: remove these columns in all kind of frequency table."
"Connection analysis : information_schema When you create an connection analysis on mysql, you can retrieve informations from all databases except information_schema where data are 0 or NaN.    But i have tables and data in this schema",5,TDQ-2018,talenddataquality,connection analysis information_schema create connection analysis mysql retrieve information database information_schema datum nan. table datum schema,"Connection analysis : information_schema When you create an connection analysis on mysql, you can retrieve informations from all databases except information_schema where data are 0 or NaN. But i have tables and data in this schema"
"multiple analysis indicators are ""grayed out"" and cannot be used When attempting to analyze DB2 table columns, not all analysis indicators are available",3,TDQ-2699,talenddataquality,multiple analysis indicator gray attempt analyze db2 table column analysis indicator available,"multiple analysis indicators are ""grayed out"" and cannot be used When attempting to analyze DB2 table columns, not all analysis indicators are available"
"""View invalid rows"" menu does not display on a table analysis (with DQ Rule) If the DQ Rule has a ""join condition"", it is impossible to view the ""invalid rows"" from the analysis results: the option is not displayed.    See the screen captures.",8,TDQ-1816,talenddataquality,view invalid row menu display table analysis dq rule dq rule join condition impossible view invalid row analysis result option display screen capture,"""View invalid rows"" menu does not display on a table analysis (with DQ Rule) If the DQ Rule has a ""join condition"", it is impossible to view the ""invalid rows"" from the analysis results: the option is not displayed. See the screen captures."
"Hide MDM connection in the Data Explorer perspective I have a MDM connection in my DQ repository and a Mysql connection.  When I switch to the Data explorer perspective and try to open a ""new SQL Editor"", I got the exception shown in the screen capture. ""c"" is an MDM connection.      We should hide MDM connection from the Data Explorer perspective.",3,TDQ-2350,talenddataquality,hide mdm connection data explorer perspective mdm connection dq repository mysql connection switch data explorer perspective try open new sql editor get exception show screen capture mdm connection hide mdm connection data explorer perspective,"Hide MDM connection in the Data Explorer perspective I have a MDM connection in my DQ repository and a Mysql connection. When I switch to the Data explorer perspective and try to open a ""new SQL Editor"", I got the exception shown in the screen capture. ""c"" is an MDM connection. We should hide MDM connection from the Data Explorer perspective."
list of patterns does not display folders See bug:10936  It is working correctly in 4.0.0M3 but it's not working in 4.0.0.,3,TDQ-616,talenddataquality,list pattern display folder bug:10936 work correctly 4.0.0m3 work 4.0.0,list of patterns does not display folders See bug:10936 It is working correctly in 4.0.0M3 but it's not working in 4.0.0.
Improve the error message when I declare the Data Profiler reporting DB If I declare a DB into preferences on Data Profiler reporting I have an error with no message.    (with no grant access on the user).    Is it possible to add a better message than this picture ?,5,TDQ-655,talenddataquality,improve error message declare data profiler report db declare db preference data profiler reporting error message grant access user possible add well message picture,Improve the error message when I declare the Data Profiler reporting DB If I declare a DB into preferences on Data Profiler reporting I have an error with no message. (with no grant access on the user). Is it possible to add a better message than this picture ?
"After Time correlation analysis running, my studio got stuck create a new Time correlation analysis, use ""tbi"" database, ""customer"" table, ""birthday"" and ""date_accnt_opened"" column(which contains NULL value), run this analysis   after that, while I want to do any other operation, the studio will be very slowly   I'm not sure the reason, but mzhao told me, perhaps it's about the column which contains NULL value...",8,TDQ-785,talenddataquality,time correlation analysis run studio get stick create new time correlation analysis use tbi database customer table birthday date_accnt_opene column(which contain null value run analysis want operation studio slowly sure reason mzhao tell column contain null value,"After Time correlation analysis running, my studio got stuck create a new Time correlation analysis, use ""tbi"" database, ""customer"" table, ""birthday"" and ""date_accnt_opened"" column(which contains NULL value), run this analysis after that, while I want to do any other operation, the studio will be very slowly I'm not sure the reason, but mzhao told me, perhaps it's about the column which contains NULL value..."
"analysis run by right click, the summary section not right open an analysis, and run it by right click -- ""Run""  the summary information not right  for eg:  the ""Number of Execution"" should +1  but it's not, if I run with the toolbar button in the editor area, it will +2    take a look at testlink case ...",3,TDQ-854,talenddataquality,analysis run right click summary section right open analysis run right click run summary information right eg number execution +1 run toolbar button editor area +2 look testlink case,"analysis run by right click, the summary section not right open an analysis, and run it by right click -- ""Run"" the summary information not right for eg: the ""Number of Execution"" should +1 but it's not, if I run with the toolbar button in the editor area, it will +2 take a look at testlink case ..."
